id	filename	tokens	lemmas
900144	stoa0033a.tlg043.1st1K-grc1	ΠΕΡΙ ΠΝΕΥΜΑΤΟΣ.	.
900145	stoa0033a.tlg043.1st1K-grc1	ΤΙΣ ἡ τοῦ ἐμφύτου πνεύματος διαμονή, καὶ τίς ἡ αὔξησις;	ὁ ὁ ἔμφυτος πνεῦμα  , καί τις ὁ αὔξησις ;
900146	stoa0033a.tlg043.1st1K-grc1	Ὁρῶμεν γὰρ ὅτι πλέον καὶ ἰσχυρότερον γίνεται καὶ καθ’ ἡλικίας μεταβολὴν καὶ κατὰ διάθεσιν σώματος.	γάρ ὅτι2 πολύς καί ἰσχυρός γίγνομαι καί κατά ἡλικία μεταβολή καί κατά διάθεσις σῶμα .
900147	stoa0033a.tlg043.1st1K-grc1	Ἢ ὡς τἆλλα μέρη, προσγινομένου τινός.	Ἢ ὡς ἄλλος μέρος ,   .
900148	stoa0033a.tlg043.1st1K-grc1	Προσγίνεται δὲ τροφὴ τοῖς ἐμψύχοις, ὥστε ταύτην σκεπτέον ποία τε καὶ πόθεν.	δέ τροφή ὁ  , ὥστε οὗτος σκοπέω ποιός τε καί πόθεν .
900149	stoa0033a.tlg043.1st1K-grc1	Δύο δὴ τρόποι δι’ ὧν γίνεται, ἢ διὰ τῆς ἀναπνοῆς, ἢ διὰ τῆς κατὰ τὴν τῆς τροφῆς προσφορὰν πέψεως, καθάπερ τοῖς ἄλλοις.	δή τρόπος διά  γίγνομαι , τίη διά ὁ ἀναπνοή , τίη διά ὁ κατά ὁ ὁ τροφή προσφορά πέψις , καθά ὁ ἄλλος .
900150	stoa0033a.tlg043.1st1K-grc1	Τούτων ἴσως οὐχ ἧττον ἂν οὐχ οὕτω δόξειεν διὰ τῆς τροφῆς·	οὗτος ἴσος οὐ ἥσσων ἐάν οὐ οὕτως δοκέω διά ὁ τροφή ·
900151	stoa0033a.tlg043.1st1K-grc1	σῶμα γὰρ ὑπὸ σώματος τρέφεται, τὸ δὲ πνεῦμα σῶμα.	σῶμα γάρ ὑπό σῶμα τρέφω , ὁ δέ  σῶμα .
900152	stoa0033a.tlg043.1st1K-grc1	Τίς οὖν ὁ τρόπος;	οὖν ὁ τρόπος ;
900153	stoa0033a.tlg043.1st1K-grc1	Ἢ δῆλον ὡς ἐκ τῆς φλεβὸς ὁλκῇ τινὶ καὶ πέψει.	δῆλος ὡς ἐκ ὁ φλέψ ὁλκή  καί πέσσω .
900154	stoa0033a.tlg043.1st1K-grc1	Τὸ γὰρ αἷμα ἡ ἐσχάτη τροφὴ καὶ ἡ αὐτὴ πᾶσιν.	γάρ αἷμα ὁ ἔσχατος τροφή καί ὁ αὐτός πᾶς .
900155	stoa0033a.tlg043.1st1K-grc1	Ὥσπερ οὖν καὶ εἰς τὸ ἀγγεῖον αὐτοῦ καὶ εἰς τὸ περιεχόμενον λαμβάνει τροφὴν εἰς τὸ θερμόν.	ὥσπερ οὖν καί εἰς ὁ ἀγγεῖον αὐτός καί εἰς ὁ περιέχω λαμβάνω τροφή εἰς ὁ θερμός .
