id	filename	tokens	lemmas
801906	tlg0031.tlg023.perseus-grc2	Ο ΗΝ ΑΠʼ ΑΡΧΗΣ, ὃ ἀκηκόαμεν, ὃ ἑωράκαμεν τοῖς ὀφθαλμοῖς ἡμῶν, ὃ ἐθεασάμεθα καὶ αἱ χεῖρες ἡμῶν ἐψηλάφησαν, περὶ τοῦ λόγου τῆς ζωῆς,— καὶ ἡ ζωὴ ἐφανερώθη, καὶ ἑωράκαμεν καὶ μαρτυροῦμεν καὶ ἀπαγγέλλομεν ὑμῖν τὴν ζωὴν τὴν αἰώνιον ἥτις ἦν πρὸς τὸν πατέρα καὶ ἐφανερώθη ἡμῖν,— ὃ ἑωράκαμεν καὶ ἀκηκόαμεν ἀπαγγέλλομεν καὶ ὑμῖν, ἵνα καὶ ὑμεῖς κοινωνίαν ἔχητε μεθʼ ἡμῶν·	Ο    , ὅς ἀκούω , ὅς ὁράω ὁ ὀφθαλμός  , ὁ  καί ὁ χείρ ἐγώ ψηλαφάω , περί ὁ λόγος ὁ ζωή , — καί ὁ ζωή φανερόω , καί ὁράω καί μαρτυρέω καί ἀπαγγέλλω  ὁ ζωή ὁ αἰώνιος ὅστις εἰμί πρός ὁ πατήρ καί φανερόω  , — ὅς ὁράω καί  ἀπαγγέλλω καί  , ἵνα καί  κοινωνία  μετά  ·
801907	tlg0031.tlg023.perseus-grc2	καὶ ἡ κοινωνία δὲ ἡ ἡμετέρα μετὰ τοῦ πατρὸς καὶ μετὰ τοῦ υἱοῦ αὐτοῦ Ἰησοῦ Χριστοῦ·	καί ὁ κοινωνία δέ ὁ ἡμέτερος μετά ὁ πατήρ καί μετά ὁ  αὐτός Ἰησοῦς  ·
801908	tlg0031.tlg023.perseus-grc2	καὶ ταῦτα γράφομεν ἡμεῖς ἵνα ἡ χαρὰ ἡμῶν ᾖ πεπληρωμένη.	καί οὗτος   ἵνα ὁ χαρά ἐγώ εἰμί  .
801909	tlg0031.tlg023.perseus-grc2	Καὶ ἔστιν αὕτη ἡ ἀγγελία ἣν ἀκηκόαμεν ἀπʼ αὐτοῦ καὶ ἀναγγέλλομεν ὑμῖν, ὅτι ὁ θεὸς φῶς ἐστὶν καὶ σκοτία οὐκ ἔστιν ἐν αὐτῷ οὐδεμία.	καί εἰμί οὗτος ὁ ἀγγελία ὅς   αὐτός καί ἀναγγέλλω  , ὅτι2 ὁ  φάος εἰμί καί σκοτία οὐ εἰμί ἐν αὐτός οὐδείς .
801910	tlg0031.tlg023.perseus-grc2	Ἐὰν εἴπωμεν ὅτι κοινωνίαν ἔχομεν μετʼ αὐτοῦ καὶ ἐν τῷ σκότει περιπατῶμεν, ψευδόμεθα καὶ οὐ ποιοῦμεν τὴν ἀλήθειαν·	λέγω ὅτι2 κοινωνία ἔχω μετά αὐτός καί ἐν ὁ σκότος  ,  καί οὐ  ὁ ἀλήθεια ·
801911	tlg0031.tlg023.perseus-grc2	ἐὰν δὲ ἐν τῷ φωτὶ περιπατῶμεν ὡς αὐτὸς ἔστιν ἐν τῷ φωτί, κοινωνίαν ἔχομεν μετʼ ἀλλήλων καὶ τὸ αἷμα Ἰησοῦ τοῦ υἱοῦ αὐτοῦ καθαρίζει ἡμᾶς ἀπὸ πάσης ἁμαρτίας.	ἐάν δέ ἐν ὁ  περιπατέω ὡς αὐτός εἰμί ἐν ὁ φώς , κοινωνία ἔχω μετά ἀλλήλων καί ὁ αἷμα Ἰησοῦς ὁ  αὐτός καθαρίζω ἐγώ ἀπό πᾶς ἁμαρτία .
801912	tlg0031.tlg023.perseus-grc2	Ἐὰν εἴπωμεν ὅτι ἁμαρτίαν οὐκ ἔχομεν, ἑαυτοὺς πλανῶμεν καὶ ἡ ἀλήθεια οὐκ ἔστιν ἐν ἡμῖν.	λέγω ὅτι2 ἁμαρτία οὐ ἔχω , ἑαυτοῦ πλανάω καί ὁ ἀλήθεια οὐ εἰμί ἐν  .
801913	tlg0031.tlg023.perseus-grc2	ἐὰν ὁμολογῶμεν τὰς ἁμαρτίας ἡμῶν, πιστός ἐστιν καὶ δίκαιος ἵνα ἀφῇ ἡμῖν τὰς ἁμαρτίας καὶ καθαρίσῃ ἡμᾶς ἀπὸ πάσης ἀδικίας.	ὁμολογέω ὁ ἁμαρτία ἐγώ , πιστός2 εἰμί καί δίκαιος ἵνα ἀφίημι  ὁ ἁμαρτία καί καθαρίζω ἐγώ ἀπό πᾶς ἀδικία .
801914	tlg0031.tlg023.perseus-grc2	Ἐὰν εἴπωμεν ὅτι οὐχ ἡμαρτήκαμεν, ψεύστην ποιοῦμεν αὐτὸν καὶ ὁ λόγος αὐτοῦ οὐκ ἔστιν ἐν ἡμῖν.	λέγω ὅτι2 οὐ ἁμαρτάνω ,  ποιέω αὐτός καί ὁ λόγος αὐτός οὐ εἰμί ἐν  .
801915	tlg0031.tlg023.perseus-grc2	Τεκνία μου, ταῦτα γράφω ὑμῖν ἵνα μὴ ἁμάρτητε.	, οὗτος   ἵνα μή  .
