text	tags_whitespace_sep
Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ 	speech_act #predicating synchronic categorized $category elaborated direction_tbd interactant_indication_tbd 
Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα 	speech_act #predicating grouped internal_orientation 
Δαυὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου 	speech_act #predicating instantiator_construal $process objectifying circumstance complete internal_orientation development_marker progressive 
Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
