id	filename	tokens	lemmas
126880	tlg1799.tlg007.First1K-grc1	Ὅροι.	.
126881	tlg1799.tlg007.First1K-grc1	α΄.	.
126882	tlg1799.tlg007.First1K-grc1	∠εδομένα τῷ μεγέθει λέγεται χωρία τε καὶ γραμμαὶ καὶ γωνίαι, οἷς δυνάμεθα ἴσα πορίσασθαι.	τῷ μέγεθος λέγω χωρίον τε καί γραμμή καί γωνία , ὅς δύναμαι ἴσος πορίζω .
126883	tlg1799.tlg007.First1K-grc1	β΄.	.
126884	tlg1799.tlg007.First1K-grc1	Λόγος δεδόσθαι λέγεται, ᾧ δυνάμεθα τὸν αὐτὸν πορίσασθαι.	λόγος  λέγω , ὅς δύναμαι ὁ αὐτός πορίζω .
126885	tlg1799.tlg007.First1K-grc1	γʹ.	.
126886	tlg1799.tlg007.First1K-grc1	Εὐθύγραμμα σχήματα τῷ εἴδει δεδόσθαι λέγεται, ὧν αἵ τε γωνίαι δεδομέναι εἰσὶ κατὰ μίαν καὶ οἱ λόγοι τῶν πλευρῶν πρὸς ἀλλήλας δεδομένοι.	σχῆμα τῷ εἶδος  λέγω , ὅς ὁ τε γωνία δίδωμι εἰμί κατά  καί ὁ λόγος ὁ πλευρόν πρός ἀλλήλων δίδωμι .
126887	tlg1799.tlg007.First1K-grc1	δʹ.	.
126888	tlg1799.tlg007.First1K-grc1	Τῇ θέσει δεδόσθαι λέγονται σημεῖά τε καὶ γραμμαὶ καὶ γωνίαι, ἃ τὸν αὐτὸν ἀεὶ τόπον ἐπέχει.	θέσις  λέγω σημεῖον τε καί γραμμή καί γωνία , ὅς ὁ αὐτός ἀεί τόπος  .
126889	tlg1799.tlg007.First1K-grc1	εʹ.	.
126890	tlg1799.tlg007.First1K-grc1	Κύκλος τῷ μεγέθει δεδόσθαι λέγεται, οὗ δέδοται ἡ ἐκ τοῦ κέντρου τῷ μεγέθει.	τῷ μέγεθος δίδωμι λέγω , οὗ δίδωμι ὁ ἐκ ὁ κέντρον τῷ μέγεθος .
126891	tlg1799.tlg007.First1K-grc1	ϛʹ.	.
126892	tlg1799.tlg007.First1K-grc1	Τῇ θέσει δὲ καὶ τῷ μεγέθει κύκλος δεδό- σθαι λέγεται, οὗ δέδοται τὸ μὲν κέντρον τῇ θέσει, ἡ δὲ ἐκ τοῦ κέντρου τῷ μεγέθει.	θέσις δέ καί τῷ μέγεθος κύκλος  -  λέγω , οὗ δίδωμι ὁ μέν κέντρον ὁ θέσις , ὁ δέ ἐκ ὁ κέντρον τῷ μέγεθος .
126893	tlg1799.tlg007.First1K-grc1	ζ΄.	.
126894	tlg1799.tlg007.First1K-grc1	Τμήματα κύκλων τῷ μεγέθει δεδόσθαι λέ- γεται, ἐν οἷς αἱ γωνίαι δεδομέναι εἰσὶ καὶ αἱ βάσεις τῶν τμημάτων τῷ μεγέθει.	κύκλος τῷ μέγεθος δίδωμι  -  , ἐν ὅς ὁ γωνία δίδωμι εἰμί καί ὁ βάσις ὁ τμῆμα ὁ μέγεθος .
126895	tlg1799.tlg007.First1K-grc1	η΄.	.
126896	tlg1799.tlg007.First1K-grc1	Τῇ θέσει δὲ καὶ τῷ μεγέθει τμήματα δε- δόσθαι λέγεται, ἐν οἷς αἵ τε γωνίαι δεδομέναι εἰσὶ τῷ μεγέθει καὶ αἱ βάσεις τῶν τμημάτων τῇ θέσει καὶ τῷ μεγέθει.	θέσις δέ καί τῷ μέγεθος τμῆμα  -  λέγω , ἐν ὅς ὁ τε γωνία δίδωμι εἰμί τῷ μέγεθος καί ὁ βάσις ὁ τμῆμα ὁ θέσις καί τῷ μέγεθος .
126897	tlg1799.tlg007.First1K-grc1	θʹ.	.
126898	tlg1799.tlg007.First1K-grc1	Μέγεθος μεγέθους δοθέντι μεῖζόν ἐστιν, ὅταν, ἀφαιρεθέντος τοῦ δοθέντος, τὸ λοιπὸν τῷ αὐτῷ ἴσον ᾖ.	μέγεθος δίδωμι μέγας εἰμί , ὅταν , ἀφαιρέω ὁ δίδωμι , ὁ λοιπός τῷ αὐτός ἴσος εἰμί .
126899	tlg1799.tlg007.First1K-grc1	ιʹ.	.
126900	tlg1799.tlg007.First1K-grc1	Μέγεθος μεγέθους δοθέντι ἔλασσόν ἐστιν, ὅταν, προστεθέντος τοῦ δοθέντος, τὸ ὅλον τῷ αὐτῷ ἴσον ᾖ.	μέγεθος δίδωμι ἐλάσσων εἰμί , ὅταν , προστίθημι ὁ δίδωμι , ὁ ὅλος τῷ αὐτός ἴσος εἰμί .
126901	tlg1799.tlg007.First1K-grc1	τα΄.	.
126902	tlg1799.tlg007.First1K-grc1	Μέγεθος μεγέθους δοθέντι μεἵζόν ἐστιν ἢ ἐν λόγῳ, ὅταν, ἀφαιρεθέντος τοῦ δοθέντος, τὸ λοιπὸν πρὸς τὸ αὐτὸ λόγον ἔχῃ δεδομένον.	μέγεθος δίδωμι  εἰμί ἤ ἐν λόγος , ὅταν , ἀφαιρέω ὁ δίδωμι , ὁ λοιπός πρός ὁ αὐτός λόγος ἔχω δίδωμι .
126903	tlg1799.tlg007.First1K-grc1	ιβ΄.	.
126904	tlg1799.tlg007.First1K-grc1	Μέγεθος μεγέθους δοθέντι ἔλασσόν ἐστιν ἢ ἐν λόγῳ, ὅταν, προστεθέντος τοῦ δοθέντος, τὸ ὅλον πρὸς τὸ αὐτὸ λόγον ἔχῃ δεδομένον.	μέγεθος δίδωμι ἐλάσσων εἰμί ἤ ἐν λόγος , ὅταν , προστίθημι ὁ δίδωμι , ὁ ὅλος πρός ὁ αὐτός λόγος ἔχω δίδωμι .
126905	tlg1799.tlg007.First1K-grc1	ιγʹ.	.
126906	tlg1799.tlg007.First1K-grc1	Κατηγμένη ἐστὶν ἡ ἀπὸ δεδομένου σημείου ἐπὶ θέσει εὐθεῖαν ἀγομένη εὐθεῖα ἐν δεδομένῃ γωνίᾳ.	εἰμί ὁ ἀπό  σημεῖον ἐπί θέσις εὐθύς  εὐθύς ἐν  γωνία .
126907	tlg1799.tlg007.First1K-grc1	ιδʹ.	.
126908	tlg1799.tlg007.First1K-grc1	Ἀνηγμένη ἐστὶν ἡ ἀπὸ δεδομένου σημείου πρὸς θέσει εὐθείᾳ ἀγομένη εὐθεῖα ἐν δεδομένῃ γωνίᾳ.	εἰμί ὁ ἀπό  σημεῖον πρός θέσις εὐθύς  εὐθύς ἐν  γωνία .
126909	tlg1799.tlg007.First1K-grc1	ιεʹ.	.
126910	tlg1799.tlg007.First1K-grc1	Πρὰ θέσει ἐστὶν ἡ διὰ δεδομένου σημείου θέσει εὐθείᾳ παράλληλος ἀγομένη.	θέσις εἰμί ὁ διά  σημεῖον θέσις εὐθύς παράλληλος ἄγω .
126911	tlg1799.tlg007.First1K-grc1	α΄.	.
126912	tlg1799.tlg007.First1K-grc1	Τῶν δεδομένων μεγεθῶν ὁ λόγος ὁ πρὸς ἄλληλα δέδοται.	ὁ   ὁ λόγος ὁ πρός ἀλλήλων δίδωμι .
126913	tlg1799.tlg007.First1K-grc1	ἔστω δεδομένα μεγέθη τὰ Α, Β·	εἰμί   ὁ  ,  ·
126914	tlg1799.tlg007.First1K-grc1	λέγω, ὅτι τοῦΑ πρὸς τὸ Β λόγος ἐστὶ δοθείς.	λέγω , ὅτι2 ὁ Α πρός ὁ  λόγος εἰμί δίδωμι .
126915	tlg1799.tlg007.First1K-grc1	ἐπεὶ γὰρ δέδοται τὸΑ, δυνατόν ἐστιν αὐτῷ ἴσον πορίσασθαι.	ἐπεί γάρ δίδωμι ὁ Α , δυνατός εἰμί αὐτός ἴσος πορίζω .
126916	tlg1799.tlg007.First1K-grc1	πεπορίσθω καὶ ἔστω τὸΓ.	καί εἰμί ὁ Γ .
126917	tlg1799.tlg007.First1K-grc1	πάλιν, ἐπεὶ δεδομένον ἐστὶ τὸ Β, δυνατόν ἐστιν αὐτῷ ἴσον πορί- σασθαι.	πάλιν , ἐπεί δίδωμι εἰμί ὁ  , δυνατός εἰμί αὐτός ἴσος  -  .
126918	tlg1799.tlg007.First1K-grc1	πεπορίσθω καὶ ἔστω τὸ∠.	καί εἰμί ὁ ∠ .
